"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,三多里,848,2307109,42634,46138,625914,59420,22522,3125,605,1496076,164,9527,5,980,529871,2211812,630
,仁愛里,502,494827,12173,13229,317054,38951,17763,1082,213,86094,67,6210,143,1847,262867,440640,679
,忠孝里,698,618342,15019,15497,442967,41772,8250,2014,946,85119,235,5849,35,640,359732,535144,575
,其　他,4,1053,0,0,583,244,75,114,0,32,0,6,0,0,367,837,0
,合　計,30789,27254161,660891,660712,18138127,1398987,445195,55939,26120,5529491,10955,243137,5438,79168,14474539,23596209,23248
溪湖鎮,光平里,357,256378,10169,10129,174618,26383,3531,3378,237,25477,0,2211,12,232,137116,218876,263
,平和里,233,190147,9122,14641,119352,13151,5545,128,118,25105,0,2918,0,66,96075,166871,24
,太平里,536,445311,9177,13691,327190,20065,9028,360,394,61195,74,3029,10,1098,260672,378790,657
,光華里,146,132040,2979,4893,65014,8429,3372,457,227,46132,13,345,94,86,51317,118343,470
,東寮里,985,767522,18170,33572,520804,50754,13104,1290,1106,123371,63,3889,0,1401,402808,649526,352
,西寮里,616,481312,15069,4821,316103,16901,4637,350,376,119309,23,2683,0,1040,239151,404360,208
,大突里,925,830949,28618,8681,551865,27896,8171,775,881,197130,435,5925,0,573,440422,719506,69
,北勢里,316,203463,2714,391,166802,7040,2078,49,200,22334,30,1090,0,737,126982,163644,30
,汴頭里,753,560688,18590,8837,445385,22379,4269,1449,421,52366,592,5552,56,791,347807,463107,288
,大竹里,721,552545,12368,18173,397455,38231,12950,2772,584,65782,31,3541,2,658,314211,469302,673
,湖西里,653,481849,8899,16428,359413,23036,7799,1933,292,56748,359,5711,0,1232,280358,402795,252
,田中里,172,107915,9631,770,83700,3834,1638,687,56,6658,0,691,0,251,63800,88015,29
